ID,TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
1,07 GHOST,,,Japonés,26,2,Magia / Acción / Drama,
2,11 eyes,,,Japonés,12,1,Acción / Ecchi / Fantasía / Romance,
3,5 centimetros por segundo,,,Inglés / Japonés,Película,1,Drama / Romance,
4,A tree of Palme,,,Japonés,Película,1,Fantasía / Aventura / Drama,
5,Accel World,,,Japonés,24 + OVA,2,Aventura / Acción / Sci-Fi / Romance,
6,Acchi kocchi,,,Japonés,12,1,Romance / Comedia,
7,Afro Samurai,,,Inglés,5 + Película,1,Acción / Gore,
8,Ah! Megami-sama,Oh! Mi Diosa,OVAS,Español,5,1,Romance / Comedia / Fantasía,
9,Ai no Kusabi (2000),,Remake,Japonés,4,1,Yaoi / Sci-Fi / Acción,Serie Yaoi (ChicoXChico) - No recomendado para menores de 16 años.
10,AIR,,,Japonés,13,1,Romance / Drama,
11,AIR (Movie),,,Japonés,Película,1,Romance / Drama,
12,Air Gear,,,Japonés,25 + 3 especiales,2,Acción / Ecchi,
13,Akame ga kill,,,Japonés,24,2,Acción / Aventura / Suspenso / Poderes,
14,Akatsuki no Yona,,,Japonés,24,2,Aventura / Romance / Harem / Harem Invertido,
15,AKB0048,,Primera Temporada,Japonés,13,1,Aventura / Espacial / Idols,
16,AKB0048 NEXT,,Segunda Temporada,Japonés,13,1,Aventura / Espacial / Idols,
17,Akira,,,Español,Película,1,Acción / Sci-Fi / Sobrenatural / Gore,
18,Aku no Hana,Les fleurs du Mal,,Japonés,13,1,Slice of life / Escolar / Psicológico,
19,Akuma no Riddle,,,Japonés,13,1,Acción / Suspenso / Yuri,Serie Yuri (ChicaxChica) Se recomienda discreción.
20,Aldnoah.Zero,,Primera Temporada,Japonés,12,1,Acción / Mechas / Espacial,
21,Aldnoah.Zero 2,,Segunda Temporda,Japonés,12,1,Acción / Mechas / Espacial,
22,Amagami SS Plus,,Segunda Temporda,Japonés,13,1,Escolar / Drama / Romance / Light ecchi,
23,Amnesia,,,Japonés,12,1,Romance / Harem / Harem Invertido / Drama / Fantasía,
24,Angel Beats,,,Japonés,13 + 2 OVAS,1,Acción / Aventura / Drama,
25,Angel Sanctuary,,,Japonés,3,1,Acción / Romance / Sobrenatural,
26,Angelic Layer,,,Japonés,26,2,Fantasía / Aventura,
27,Angelique: Kokoro no Mezameru Toki,,,Japonés,13,1,Romance / Aventura / Drama / Harem / Harem Invertido,
28,Ano Hana,Ano Hi mita Hana no namae Bokutachi wa mada shiranai,,Japonés,13,1,Drama / Slice of life / Romance,
29,Ano Hana Movie,,,Japonés,Película,1,Drama / Slice of life / Romance,
30,Another,,Sin censura,Japonés,12 + OVA,1,Suspenso / Escolar / Horror / Gore,
31,Ao haru ride,,,Japonés,12,1,Romance / Escolar / Drama,
32,Ao no Exorcist,Blue Exorcist,,Japonés,25,2,Acción / Sobrenatural,
33,Ao no Exorcist Movie,Blue Exorcist Movie,,Japonés,Película + OVA,1,Acción / Sobrenatural,
34,Aoi Bungaku Series,,,Japonés,12,1,Suspenso / Acción,
35,Aoki Hagane no Arpeggio,Arpeggio of the Blue Steel,,Japonés,12,1,Acción / Misterio / Espacial,
36,Appleseed 2004,,,Japonés,Película,1,Sci-Fi / Acción,
37,Appleseed ExMachina,,,Inglés / Francés / Japonés,Película,1,Sci-Fi / Acción,
38,Aquarion Evol,,,Japonés,26,2,Mechas / Acción / Drama,
39,"Aquarion, Genesis of",Sousei no Aquarion,"Precuela, para ver secuela Vease Aquarion Evol",Japonés,26,2,Mechas / Acción / Drama,
40,Arakawa Under the Bridge,,Primera Temporada,Japonés,13,1,Comedia / Romance / Parodia,
41,Arakawa Under the Bridge * 2,,Segunda Temporada,Japonés,13,1,Comedia / Romance / Parodia,
42,Arcana Famiglia,La Storia de la Arcana Famiglia,Arcana Famiglia,Japonés,13,1,Acción / Romance / Gangster,
43,Arrietty,,,Japonés,Película,1,Fantasía / Drama / Aventura,
44,Asobi ni Ikuyo!,,,Japonés,12 + OVA,1,Sci-Fi / Romance / Comedia / Ecchi,
45,Astarotte no Omocha,,,Japonés,11,1,Romance / Sobrenatural / Comedia / Ecchi / Lolicon,Serie lolicon (chicas con apariencia joven) Se recomienda discrecion.
46,Asu no Yoichi,,,Japonés,12,1,Comedia / Romance / Ecchi,
47,Asura,,,Japonés,Película,1,Sobrenatural / Horror,
48,AURA - Maryuuinkouga Saigo no Tatakai,,,Japonés,1,1,Fantasía / Aventura / Romance,
49,Avalon,,Película,Español / Polaco,1,1,Acción / Aventura / Sci-Fi,
50,AVATAR - La Leyenda de Aang,,"Libro 1 - Agua, Libro 2 - Tierra, Libro 3 - Fuego",Español,60,3,Aventura / Acción / Fantasía,
51,AVATAR - La Leyenda de Korra,,,Español,26,2,Aventura / Acción / Fantasía / Romance,
52,AVATAR - The Legend of Korra,,"Libro 1 - Water, Libro 2 - Spirits, Libro 3- Change, Libro 4 - Balance",Inglés,52,4,Aventura / Acción / Fantasía / Romance,
53,Ayashi no Ceres,,,Español,24,1,Romance / Drama / Sobrenatural / Acción,
54,B Gata H Kei,,,Japonés,12,1,Romance / Comedia / Escolar,
55,Baccano!,,,Japonés,13 + 3 OVA,1,Acción / Misterio,
56,Baka to test to shoukanjuu,,Primera Temporada,Japonés,13,1,Romance / Escolar / Fantasía / Comedia / Ecchi,
57,Baka to Test to Shoukanjuu Matsuri,,Temporada Intermedia,Japonés,2 + 7 especiales,1,Romance / Escolar / Fantasía / Comedia / Ecchi,
58,Baka to Test to Shoukanjuu Nii,,Segunda Temporada,Japonés,13,1,Romance / Escolar / Fantasía / Comedia / Ecchi,
59,Bakemonogatari,,,Japonés,15,1,Sobrenatural / Misterio / Comedia / Light ecchi,
60,Bakuman,,,Japonés,25,2,Slice of life / Drama / Romance / Comedia,
61,Bakuman 2,,,Japonés,25,2,Slice of life / Drama / Romance / Comedia,
62,Bakuman 3,,,Japonés,25,2,Slice of life / Drama / Romance / Comedia,
63,Basilisk,,,Español / Japonés,24,2,Acción / Suspenso / Ninja / Romance,
64,Battle Angel Alita,,,Japonés,2,1,Sci-Fi / Acción / Misterio,
65,Battle Royal,,,Español / Japonés,Película,1,Acción / Supervivencia / Gore,
66,Battle Royal 2,,,Japonés,Película,1,Acción / Supervivencia / Gore,
67,Bayonetta - Bloody Fate,,,Japonés,Película,1,Acción / Sobrenatural,
68,Beelzebub,,,Japonés,60 + 2 OVA,5,Comedia / Sobrenatural,
69,Ben-to,,,Japonés,12,1,Comedia / Romance / Ecchi,
70,Bersek,,,Japonés,25,2,Acción / Aventura / Sobrenatural / Horror,
